,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,return_daily,return_cummulative,band_baseline,band_upper,band_lower,Conversion,Baseline,Span A,Span B,Lagging Span
0,2020-04-01,15.0,15.0,5.800000190734862,6.920000076293945,9626600,0,0,,,,,,,,,,9.119999885559082
1,2020-04-02,7.309999942779541,7.980000019073486,6.0,6.210000038146973,13963700,0,0,-0.10260116045074064,0.8973988395492594,,,,,,,,8.779999732971191
2,2020-04-03,6.610000133514403,8.100000381469728,6.329999923706055,8.060000419616701,26556800,0,0,0.2979066618527362,1.1647399321898984,,,,,,,,8.520000457763674
3,2020-04-06,8.680000305175781,9.0,7.230000019073486,7.300000190734862,7505200,0,0,-0.09429282745843592,1.054913310729966,,,,,,,,8.300000190734862
4,2020-04-07,7.5,7.579999923706055,7.199999809265138,7.300000190734862,4968800,0,0,0.0,1.054913310729966,,,,,,,,8.329999923706055
5,2020-04-08,7.199999809265138,10.300000190734863,7.199999809265138,10.029999732971193,7342800,0,0,0.37397253026119603,1.4494219107498667,,,,,,,,8.340000152587889
6,2020-04-09,10.869999885559082,11.140000343322754,10.0,10.789999961853027,6333000,0,0,0.07577270679115955,1.5592485322097986,,,,,,,,9.270000457763672
7,2020-04-13,10.970000267028807,11.84000015258789,9.449999809265137,9.5,2788900,0,0,-0.1195551405388039,1.3728323548065324,,,,,,,,9.289999961853027
8,2020-04-14,10.0,10.1899995803833,9.109999656677246,9.65999984741211,2940200,0,0,0.016842089201274613,1.39595371978458,,,,12.5,,,,10.5
9,2020-04-15,9.119999885559082,9.239999771118164,8.699999809265138,8.890000343322754,1752000,0,0,-0.07971009485011915,1.2846821163741744,,,,10.920000076293945,,,,11.279999732971193
10,2020-04-16,8.770000457763674,9.039999961853027,8.060000419616701,8.539999961853027,1832200,0,0,-0.03937012012970398,1.2341040271240409,,,,10.920000076293945,,,,12.84000015258789
11,2020-04-17,8.9399995803833,10.199999809265137,8.899999618530273,9.470000267028807,4168600,0,0,0.10889933364519422,1.3684971333266995,,,,10.920000076293945,,,,13.050000190734865
12,2020-04-20,9.010000228881836,9.970000267028807,8.600000381469728,9.760000228881836,2430100,0,0,0.03062301517167909,1.4104046418029623,,,,10.920000076293945,,,,13.949999809265135
13,2020-04-21,9.489999771118164,9.859999656677246,9.270000457763672,9.3100004196167,1927800,0,0,-0.0461065367532979,1.345375768348652,,,,10.920000076293945,,,,13.729999542236328
14,2020-04-22,9.5600004196167,9.649999618530273,9.289999961853027,9.300000190734863,794500,0,0,-0.0010741383921707426,1.3439306485839726,,,,10.920000076293945,,,,14.470000267028807
15,2020-04-23,9.31999969482422,9.5,8.8100004196167,8.819999694824219,1426400,0,0,-0.051612955490995094,1.2745664158356238,,,,10.644999980926514,,,,14.93000030517578
16,2020-04-24,8.819999694824219,8.930000305175781,7.9000000953674325,8.039999961853027,3339600,0,0,-0.08843534693418564,1.1618496926605388,,,,9.744999885559082,,,,15.949999809265135
17,2020-04-27,8.100000381469728,9.40999984741211,8.100000381469728,9.149999618530273,1703700,0,0,0.13805965944574683,1.3222542655563985,,,,9.744999885559082,,,,17.09000015258789
18,2020-04-28,9.399999618530273,9.800000190734863,7.9099998474121085,8.199999809265138,5760900,0,0,-0.10382512009522138,1.1849710576385866,,,,9.744999885559082,,,,17.319999694824222
19,2020-04-29,8.640000343322754,8.920000076293945,8.399999618530272,8.8100004196167,2215900,0,0,0.07439032006590107,1.2731214338851504,8.70300006866455,10.943229863646309,6.462770273682793,9.744999885559082,,,,18.690000534057614
20,2020-04-30,8.569999694824219,8.800000190734863,8.319999694824219,8.720000267028809,1347700,0,0,-0.010215680851443865,1.2601156316314472,8.793000078201294,10.877023816204936,6.70897634019765,9.630000114440918,,,,18.520000457763672
21,2020-05-01,8.399999618530272,8.689999580383299,8.319999694824219,8.550000190734862,2067600,0,0,-0.019495420996342716,1.2355491468887199,8.910000085830688,10.627775626227354,7.192224545434023,9.574999809265137,,,,17.799999237060547
22,2020-05-04,8.199999809265138,9.020000457763672,8.159999847412111,8.880000114440918,1989200,0,0,0.038596481443784914,1.2832369966094945,8.951000070571899,10.623738960031778,7.27826118111202,9.545000076293945,,,,16.760000228881836
23,2020-05-05,8.9399995803833,9.050000190734863,8.510000228881836,8.84000015258789,1854900,0,0,-0.004504500150622537,1.2774566553649827,9.02800006866455,10.519791860169025,7.536208277160074,9.305000305175781,,,,15.369999885559082
24,2020-05-06,8.75,8.75,8.300000190734862,8.340000152587889,1836400,0,0,-0.056561084996545774,1.2052023209014808,9.080000066757203,10.386322785712087,7.773677347802317,9.15500020980835,,,,16.479999542236328
25,2020-05-07,8.470000267028809,8.819999694824219,8.409999847412111,8.670000076293945,1224600,0,0,0.03956833545184746,1.2528901706222557,9.01200008392334,10.252682456710328,7.7713177111363505,9.15500020980835,12.5,10.827500104904175,,16.260000228881836
