,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,return_daily,return_cummulative,band_baseline,band_upper,band_lower,Conversion,Baseline,Span A,Span B,Lagging Span
0,2017-02-06,25.71370734000376,25.83187815523446,24.92590991902223,25.04408073425293,14485800,0.0,0,,,,,,,,,,24.174001693725586
1,2017-02-07,25.00468875130696,25.327687060670875,24.437475176593395,24.57927894592285,10415500,0.0,0,-0.01855934714722296,0.981440652852777,,,,,,,,24.245758056640625
2,2017-02-08,24.461108112464157,25.19375991821289,24.272036921078065,25.19375991821289,6918200,0.0,0,0.024999959260072924,1.0059766291902759,,,,,,,,24.34941101074219
3,2017-02-09,25.193757079773174,25.721582829006337,24.92590587983578,25.50099754333496,7609600,0.0,0,0.01219498900201721,1.0182445031195375,,,,,,,,23.41656875610352
4,2017-02-10,25.556145177125025,25.902777937510205,24.85500601028544,25.20163726806641,7894900,0.0,0,-0.011739159409738242,1.0062911685793277,,,,,,,,22.659141540527344
5,2017-02-13,26.05246001027612,26.17850747519359,25.548270150606214,25.66644096374512,14055000,0.0,0,0.018443392813516812,1.024850591886209,,,,,,,,22.619279861450195
6,2017-02-14,25.690076508052712,25.989440394293286,25.60341830372974,25.745222091674805,7542200,0.0,0,0.0030694215859909946,1.0279962904153601,,,,,,,,22.53954696655273
7,2017-02-15,25.910657820647675,26.013072331281947,25.53251540277741,25.792490005493164,7325000,0.0,0,0.00183598780581673,1.0298836790689876,,,,,,,,22.45981979370117
8,2017-02-16,25.760975330530282,25.894899444727823,24.988932744058708,25.06771278381348,8813700,0.0,0,-0.028100319958457853,1.0009436181671554,,,,25.890962889461665,,,,22.268465042114254
9,2017-02-17,25.17800673831378,25.453737659425574,25.09922819240121,25.445858001708984,8197200,0.0,0,0.015084950954906251,1.0160428035558333,,,,25.890962889461665,,,,22.76278686523437
10,2017-02-21,26.068218017505693,26.38333820293521,25.311933178725425,25.43798065185547,16118500,0.0,0,-0.0003095729706966699,1.0157282641667815,,,,25.993378253332473,,,,23.336843490600586
11,2017-02-22,25.445853179115783,25.871264458919487,25.29617276816632,25.493122100830078,9381600,0.0,0,0.002167681850586911,1.017930039890144,,,,25.993378253332473,,,,23.48832702636719
12,2017-02-23,25.587659239012837,26.068216134740887,25.422222505954892,25.5561466217041,8962200,0.0,0,0.00247221664826891,1.0204465834815335,,,,25.993378253332473,,,,23.63184356689453
13,2017-02-24,25.587657932644607,26.438480525290323,25.42222120803297,26.131237030029297,8149200,0.0,0,0.022503017252091917,1.0434097105544566,,,,26.02094941451003,,,,23.63184356689453
14,2017-02-27,26.1154842709409,26.572405187265282,26.083971654585145,26.44635772705078,6298900,0.0,0,0.012059157270639664,1.0559923523517454,,,,26.328188420925215,,,,23.03386878967285
15,2017-02-28,26.11548582938228,26.186387717809534,25.72946376900973,26.17063140869141,10276400,0.0,0,-0.010425871161734435,1.0449827121383493,,,,26.328188420925215,,,,22.978057861328125
16,2017-03-01,26.37545747076303,26.525137899878448,25.90278021708686,25.95792579650879,6063300,0.0,0,-0.008127645407591477,1.0364894631970256,,,,26.328188420925215,,,,23.456438064575195
17,2017-03-02,26.099729520264148,26.249409949073392,25.96580239536436,26.17063140869141,4489400,0.0,0,0.008194245328000394,1.0449827121383495,,,,26.328188420925215,,,,23.2012996673584
18,2017-03-03,25.950045656270603,26.131238700313855,24.563523534144174,25.028324127197266,13194700,0.0,0,-0.043648441784051806,0.9993708450622382,,,,26.328188420925215,,,,23.53616523742676
19,2017-03-06,24.673815306357497,24.69744977023259,23.799359676835753,24.17750358581543,10976100,0.0,0,-0.03399430729192465,0.965397925456602,25.49036693572998,26.59009174355082,24.390642127909143,26.328188420925215,,,,23.68765068054199
20,2017-03-07,24.23264823709195,24.43747574168154,24.075088155837108,24.27203750610352,6092000,0.0,0,0.003909995089135254,0.9691726266041987,25.45176477432251,26.661398500804793,24.242131047840225,26.328188420925215,,,,23.25711250305176
21,2017-03-08,24.295672293991398,25.335564636888382,24.216892252310405,25.028324127197266,7859800,0.0,0,0.031158761224869158,0.9993708450622382,25.474217033386232,26.633318079375332,24.31511598739713,26.328188420925215,,,,23.25711250305176
22,2017-03-09,25.059836705735478,25.107105635067047,24.68957244159798,24.83925437927246,4471700,0.0,0,-0.007554231236735154,0.9918213666073866,25.45649175643921,26.643024327327417,24.269959185551002,26.328188420925215,,,,22.978057861328125
23,2017-03-10,25.020445375807643,25.18588210704669,24.791983410644054,24.996810913085934,3914600,0.0,0,0.006343046027377897,0.9981125351867142,25.431282424926756,26.63445037962249,24.228114470231024,26.245470147621404,,,,22.89035987854004
24,2017-03-13,24.971296845743503,25.066972982634734,24.556702787082482,24.636432647705078,6127400,0.37799999999999995,0,-0.014416969694009851,0.983722777015716,25.40302219390869,26.65260662871853,24.15343775909885,26.245470147621404,,,,23.19333076477051
25,2017-03-14,24.771972756886722,25.314133979929643,24.317514531900915,24.67629814147949,4737100,0.0,0,0.0016181520411042705,0.9853145900352247,25.35351505279541,26.635818519680882,24.071211585909936,26.107606172218876,26.328188420925215,26.217897296572048,,23.926841735839844
26,2017-03-15,24.5407584505636,24.5407584505636,23.831164351698963,24.174001693725586,8595600,0.0,0,-0.02035542141994018,0.9652580963238421,25.27495403289795,26.642293868110848,23.90761419768505,25.461611055478954,26.328188420925215,25.894899738202085,,23.50427627563477
27,2017-03-16,23.91886699601934,24.38129836378023,23.719543104385853,24.245758056640625,6385600,0.0,0,0.0029683278682677283,0.9681232988312312,25.19761743545532,26.613754946939757,23.781479923970885,25.063774023766218,26.328188420925215,25.695981222345715,,23.273061752319336
28,2017-03-17,24.365355768734236,24.46103192029068,24.09427511349861,24.34941101074219,11769100,0.0,0,0.004275096446125559,0.9722621193054759,25.161702346801757,26.625356491549898,23.698048202053617,25.063774023766218,26.328188420925215,25.695981222345715,,23.34481430053711
29,2017-03-20,24.38926868757244,24.38926868757244,23.368729932712924,23.41656875610352,7840400,0.0,0,-0.0383106701935062,0.9350141059111244,25.060237884521484,26.703433883335983,23.417041885706986,25.063774023766218,26.328188420925215,25.695981222345715,,23.46440887451172
30,2017-03-21,23.384680431766444,23.44049088175087,22.196710142586813,22.659141540527344,11558200,0.0,0,-0.0323457814620578,0.9047703439773819,24.92129592895508,26.86007223410009,22.982519623810067,25.05305869528685,26.328188420925215,25.690623558106033,,23.528194427490234
31,2017-03-22,22.635224619831572,22.67509031758721,22.188739450014577,22.619279861450195,6532500,0.0,0,-0.001759187522874739,0.9031786832771898,24.777603816986083,26.941097518045147,22.61411011592702,25.05305869528685,26.328188420925215,25.690623558106033,,23.29697608947754
32,2017-03-23,22.643194725387726,23.08967983537952,22.48373651789385,22.53954696655273,5434500,0.0,0,-0.0035249970549837695,0.8999949810785135,24.626773834228516,26.96747965183039,22.28606801662664,24.93541838350606,26.328188420925215,25.63180340221564,,23.009952545166016
