Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,10.568674323867972,10.635649702949117,10.541884299980426,10.622254371643066,94600,0.0,0
2017-02-07,10.662439940784855,10.689229965209961,10.622254584784915,10.689229965209961,114100,0.0,0
2017-02-08,10.695927630997378,10.695927630997378,10.649044609210021,10.689229965209961,96800,0.0,0
2017-02-09,10.731725183768415,10.731725183768415,10.657527440393759,10.67101764678955,87000,0.113,0
2017-02-10,10.704742913300457,10.71148833737268,10.671016436218391,10.691252708435059,49000,0.0,0
2017-02-13,10.711487598477385,10.724977802412207,10.590072546668967,10.596817970275879,100200,0.0,0
2017-02-14,10.590073970567541,10.644036080120365,10.57658376481888,10.610309600830078,72700,0.0,0
2017-02-15,10.644034429855878,10.644034429855878,10.549601074419048,10.563091278076172,119700,0.0,0
2017-02-16,10.583328430186972,10.610309484667996,10.488895061142935,10.54285717010498,106400,0.0,0
2017-02-17,10.536113202569464,10.623801802577892,10.536113202569464,10.60356616973877,86500,0.0,0
2017-02-21,10.637291339569735,10.677762600249599,10.596819435610783,10.657526969909668,111300,0.0,0
2017-02-22,10.691253478285232,10.731724739074707,10.657526998774607,10.731724739074707,67800,0.0,0
2017-02-23,10.745215714444653,10.772196769714355,10.731724865170252,10.772196769714355,50100,0.0,0
2017-02-24,10.772196729640417,10.805923209421854,10.724979400634766,10.724979400634766,142000,0.0,0
2017-02-27,10.758705920439954,10.80592324962126,10.758705920439954,10.772196769714355,65900,0.0,0
2017-02-28,10.78568717522389,10.83964928676149,10.78568717522389,10.832903861999512,92700,0.0,0
2017-03-01,10.859884181010479,10.859884181010479,10.738469123840332,10.738469123840332,160400,0.0,0
2017-03-02,10.792430792493219,10.866629165890172,10.77893994522868,10.799176216125488,187000,0.0,0
2017-03-03,10.785683380051426,10.8261546278244,10.785683380051426,10.805919647216797,65400,0.0,0
2017-03-06,10.832903861999512,10.920593097347002,10.799178024747846,10.832903861999512,130200,0.0,0
2017-03-07,10.886866409819794,10.981301073713658,10.819414732613387,10.873376846313477,135800,0.0,0
2017-03-08,10.893607604537191,10.927334716601418,10.455165440164432,10.515872955322266,316100,0.0,0
2017-03-09,10.477145659875676,10.524707073312221,10.198570556074776,10.422789573669434,385300,0.113,0
2017-03-10,10.443172919387472,10.52470704850465,10.375228135777652,10.463556289672852,93800,0.0,0
2017-03-13,10.653806683965897,10.653806683965897,10.504327074927104,10.51112174987793,209100,0.0,0
2017-03-14,10.47035091297993,10.558679714433653,10.232543199505129,10.246131896972656,181900,0.0,0
2017-03-15,10.266516542357763,10.592653745771191,10.266516542357763,10.538297653198242,114100,0.0,0
2017-03-16,10.538301431978619,10.653808332108053,10.53150675597666,10.613040924072266,169600,0.0,0
2017-03-17,10.599447481076751,10.73533770048016,10.59265280811266,10.647008895874023,129200,0.0,0
2017-03-20,10.69457482040881,10.748930931091309,10.68098611672616,10.748930931091309,84900,0.0,0
2017-03-21,10.762516212420014,10.776104910963484,10.647009358909832,10.66739273071289,75900,0.0,0
2017-03-22,10.6673929657053,10.687776337957386,10.626626221201128,10.640214920043945,88600,0.0,0
2017-03-23,10.619832788652156,10.73533965820309,10.619832788652156,10.714956283569336,92100,0.0,0
2017-03-24,10.694572719417272,10.803284919425323,10.674189343909719,10.735340118408203,74300,0.0,0
2017-03-27,10.728541834586045,10.73533650679462,10.667391080660078,10.674185752868652,77400,0.0,0
2017-03-28,10.680982375471599,10.782899885308392,10.680982375471599,10.742133140563965,75000,0.0,0
2017-03-29,10.748924542279786,10.816869964236334,10.748924542279786,10.789691925048828,48700,0.0,0
2017-03-30,10.796491382359635,10.844052810025373,10.76931333112552,10.82366943359375,63700,0.0,0
2017-03-31,10.837256942479032,10.871229664776616,10.796490194102558,10.850846290588379,82600,0.0,0
2017-04-03,10.830456076661449,10.911990174777202,10.823662054466695,10.871223449707031,190600,0.0,0
2017-04-04,10.871228701421769,10.959556864402183,10.871228701421769,10.92558479309082,99900,0.0,0
2017-04-05,10.92558504898351,10.966351794702252,10.911995701760103,10.932379722595215,123100,0.0,0
2017-04-06,10.945967576497374,11.000323662023904,10.939172903812644,10.959555625915527,251300,0.0,0
2017-04-07,10.93917272127757,10.993528805897096,10.93917272127757,10.979939460754395,119800,0.0,0
2017-04-10,11.000324150905692,11.04109089287454,10.973145458958886,11.013912200927734,110200,0.0,0
2017-04-11,11.063863409677452,11.132285831215887,11.029652851432807,11.125443458557129,122100,0.113,0
2017-04-12,11.1049111664277,11.1254382748397,11.015962973406104,11.043331146240234,95100,0.0,0
2017-04-13,11.084389203827168,11.104915014302867,11.050177344619357,11.070704460144043,88900,0.0,0
2017-04-17,11.104914181438513,11.118598924095286,11.057018887188693,11.091229438781738,101300,0.0,0
2017-04-18,11.098072642461306,11.098072642461306,11.043334972777794,11.070704460144043,72200,0.0,0
2017-04-19,11.098070487089942,11.111755228115335,11.063859939575195,11.063859939575195,101200,0.0,0
2017-04-20,11.077546001173854,11.111756552766899,11.002281221610488,11.091229438781738,116800,0.0,0
2017-04-21,11.11176037900105,11.166498063427682,11.084392189312403,11.118602752685547,76000,0.0,0
2017-04-24,11.159654498811243,11.180181617674126,11.111759193180381,11.139128684997559,112200,0.0,0
2017-04-25,11.166496997422238,11.207549930560774,11.152812251359654,11.187024116516113,113100,0.0,0
2017-04-26,11.187021725865224,11.214389907092635,11.15280986801979,11.17333698272705,70300,0.0,0
2017-04-27,11.159652480796328,11.221232521200179,11.159652480796328,11.180179595947266,55300,0.0,0
2017-04-28,11.20755159906141,11.282816408561297,11.187025781961012,11.269131660461426,85600,0.0,0
2017-05-01,11.282812027155387,11.38544498795059,11.282812027155387,11.351234436035156,117200,0.0,0
2017-05-02,11.385444274388371,11.433339566087788,11.358076095581055,11.358076095581055,172300,0.0,0
2017-05-03,11.358078123733232,11.440183979865209,11.358078123733232,11.3786039352417,131100,0.0,0
